lib_name,lib_code
A马列主义、毛泽东思想、邓小平理论,A
A1马克思、恩格斯著作,A1
A11选集、文集,A11
A119选读,A119
A12单行著作,A12
A121马克思主义形成时期(1848年以前),A121
A122革命风暴的高涨与低落时期(1848~1863年),A122
A123第一国际和巴黎公社时期(1864~1872年),A123
A124马克思主义广泛传播和各国建立社会主义政党时期(1873~1889年6月),A124
A125第二国际时期(1889年7月~1895年),A125
A13书信集、日记、函电、谈话,A13
A14诗词,A14
A15手迹,A15
A16专题汇编,A16
A18语录,A18
A2列宁著作,A2
A3斯大林著作,A3
A4毛泽东著作,A4
A41选集、文集,A41
A419选读,A419
A42单行著作,A42
A421第一次国内革命战争以前(1924年以前),A421
A422第一次国内革命战争时期(1924~1927年7月),A422
A423第二次国内革命战争时期(1927年8月~1937年6月),A423
A424抗日战争时期(1937年7月~1945年8月),A424
A425第三次国内革命战争时期(1945年9月~1949年9月),A425
A426社会主义革命和社会主义建设时期(1949年10月~1976年),A426
A43书信集、日记、函电、谈话,A43
A44诗词,A44
A45手迹,A45
A46专题汇编,A46
A48语录,A48
A49邓小平著作,A49
A491选集、文集,A491
A491.9选读,A491.9
A492单行著作,A492
A493书信集、日记、函电、谈话,A493
A495手迹,A495
A496专题汇编,A496
A498语录,A498
A49邓小平著作,A49
A5马克思、恩格斯、列宁、斯大林、毛泽东、邓小平著作汇编,A5
A56专题汇编,A56
A58语录,A58
A7马克思、恩格斯、列宁、斯大林、毛泽东、邓小平生平和传记,A7
A71马克思,A71
A711传记,A711
A712生平事迹、回忆录,A712
A713年谱、年表,A713
A714纪念文集,A714
A715阐述、研究,A715
A716肖像、照片、画传、像章,A716
A717纪念地、故居、遗物,A717
A72恩格斯,A72
A73列宁,A73
A74斯大林,A74
A75毛泽东,A75
A76邓小平,A76
A8马克思主义、列宁主义、毛泽东思想、邓小平理论的学习和研究,A8
A81马克思主义的学习和研究,A81
A82列宁主义的学习和研究,A82
A83斯大林的思想的学习和研究,A83
A84毛泽东思想的学习和研究,A84
A85著作汇编的学习和研究,A85
B哲学、宗教,B
B0哲学理论,B0
B0-0马克思主义哲学,B0-0
B01哲学基本问题,B01
B013哲学的阶级性和实践性,B013
B014哲学的对象、目的与方法,B014
B015唯物主义和唯心主义,B015
B016本体论,B016
B016.8宇宙论,B016.8
B016.9时空论,B016.9
B017认识论,B017
B017.8决定论与非决定论,B017.8
B017.9自我论,B017.9
B018价值论,B018
B019.1唯物主义,B019.1
B019.11朴素唯物主义,B019.11
B019.12形而上学唯物主义,B019.12
B019.13辩证唯物主义,B019.13
B019.2唯心主义,B019.2
B02辩证唯物主义,B02
B021物质论,B021
B021.2运动论,B021.2
B021.3时空论,B021.3
B021.4物质运动的规律性,B021.4
B022意识论,B022
B022.2客观规律性与主观能动性,B022.2
B023认识论、反映论,B023
B023.2认识的辩证过程,B023.2
B023.3真理论,B023.3
B024唯物辩证法,B024
B024.1内因与外因,B024.1
B024.2矛盾的普遍性和特殊性,B024.2
B024.3矛盾发展的不平衡性,B024.3
B024.4矛盾的同一性和斗争性,B024.4
B024.5对抗性矛盾与非对抗性矛盾,B024.5
B024.7质变与量变,B024.7
B024.8否定之否定,B024.8
